Sun Jan  8 12:11:03 2023    profile_job

         97828 function calls (96635 primitive calls) in 55.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     78/1    0.001    0.000   55.695   55.695 {built-in method builtins.exec}
        1    0.000    0.000   55.695   55.695 job_center.py:1(<module>)
        1    0.000    0.000   55.650   55.650 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/runners.py:8(run)
        3    0.000    0.000   55.649   18.550 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:577(run_until_complete)
        3    0.002    0.001   55.648   18.549 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:550(run_forever)
      464    0.015    0.000   55.647    0.120 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:1780(_run_once)
      464    0.012    0.000   51.267    0.110 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:451(select)
      464   51.251    0.110   51.251    0.110 {method 'poll' of 'select.epoll' objects}
      505    0.004    0.000    4.355    0.009 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/events.py:79(_run)
      505    0.004    0.000    4.352    0.009 {method 'run' of 'Context' objects}
      228    0.017    0.000    4.246    0.019 job_center.py:46(_echo)
      103    3.332    0.032    4.127    0.040 job_center.py:28(my_rand)
      108    0.807    0.007    0.807    0.007 {method 'difference' of 'set' objects}
        7    0.000    0.000    0.068    0.010 job_center.py:266(client_connected)
        7    0.054    0.008    0.067    0.010 job_center.py:23(my_rand_client)
     83/8    0.000    0.000    0.045    0.006 <frozen importlib._bootstrap>:986(_find_and_load)
     83/8    0.000    0.000    0.045    0.006 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     82/8    0.000    0.000    0.044    0.006 <frozen importlib._bootstrap>:650(_load_unlocked)
     62/8    0.000    0.000    0.044    0.006 <frozen importlib._bootstrap_external>:777(exec_module)
    121/8    0.000    0.000    0.043    0.005 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.032    0.032 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/__init__.py:1(<module>)
     1005    0.003    0.000    0.030    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/heapq.py:521(nlargest)
        1    0.000    0.000    0.029    0.029 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:1(<module>)
      210    0.003    0.000    0.029    0.000 job_center.py:33(send_response)
     1496    0.017    0.000    0.029    0.000 {built-in method builtins.max}
      217    0.001    0.000    0.027    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:802(_read_ready)
      217    0.003    0.000    0.025    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:842(_read_ready__data_received)
      214    0.002    0.000    0.015    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:283(data_received)
      210    0.001    0.000    0.015    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:340(write)
      210    0.002    0.000    0.014    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:888(write)
      438    0.001    0.000    0.013    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:521(readline)
      214    0.002    0.000    0.013    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:471(feed_data)
    19/12    0.000    0.000    0.012    0.001 {built-in method builtins.__import__}
      210    0.012    0.000    0.012    0.000 {method 'send' of '_socket.socket' objects}
    84/43    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      419    0.012    0.000    0.012    0.000 {built-in method builtins.print}
