Sun Jan  8 12:27:56 2023    profile_job_2

         96311 function calls (95118 primitive calls) in 57.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     78/1    0.001    0.000   57.105   57.105 {built-in method builtins.exec}
        1    0.000    0.000   57.105   57.105 job_center.py:1(<module>)
        1    0.000    0.000   57.064   57.064 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/runners.py:8(run)
        3    0.000    0.000   57.063   19.021 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:577(run_until_complete)
        3    0.002    0.001   57.063   19.021 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:550(run_forever)
      461    0.015    0.000   57.061    0.124 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:1780(_run_once)
      461    0.012    0.000   56.850    0.123 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:451(select)
      461   56.834    0.123   56.834    0.123 {method 'poll' of 'select.epoll' objects}
      470    0.004    0.000    0.184    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/events.py:79(_run)
      470    0.004    0.000    0.180    0.000 {method 'run' of 'Context' objects}
      221    0.019    0.000    0.142    0.001 job_center.py:46(_echo)
     83/8    0.000    0.000    0.041    0.005 <frozen importlib._bootstrap>:986(_find_and_load)
     83/8    0.000    0.000    0.041    0.005 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     82/8    0.000    0.000    0.040    0.005 <frozen importlib._bootstrap>:650(_load_unlocked)
     62/8    0.000    0.000    0.040    0.005 <frozen importlib._bootstrap_external>:777(exec_module)
    121/8    0.000    0.000    0.039    0.005 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      207    0.004    0.000    0.039    0.000 job_center.py:33(send_response)
     1003    0.003    0.000    0.032    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/heapq.py:521(nlargest)
     1491    0.019    0.000    0.030    0.000 {built-in method builtins.max}
      218    0.001    0.000    0.030    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:802(_read_ready)
        1    0.000    0.000    0.030    0.030 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/__init__.py:1(<module>)
      218    0.003    0.000    0.028    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:842(_read_ready__data_received)
        1    0.000    0.000    0.027    0.027 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:1(<module>)
      207    0.001    0.000    0.019    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:340(write)
      207    0.002    0.000    0.018    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:888(write)
      215    0.001    0.000    0.017    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:283(data_received)
      428    0.002    0.000    0.016    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:521(readline)
      207    0.015    0.000    0.015    0.000 {method 'send' of '_socket.socket' objects}
      215    0.003    0.000    0.014    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:471(feed_data)
      428    0.007    0.000    0.014    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:552(readuntil)
      411    0.014    0.000    0.014    0.000 {built-in method builtins.print}
      207    0.001    0.000    0.013    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/__init__.py:183(dumps)
      207    0.002    0.000    0.012    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/encoder.py:182(encode)
      207    0.002    0.000    0.011    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/__init__.py:299(loads)
    19/12    0.000    0.000    0.011    0.001 {built-in method builtins.__import__}
    84/43    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      218    0.002    0.000    0.011    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:446(_wakeup_waiter)
    10003    0.010    0.000    0.010    0.000 job_center.py:91(<lambda>)
      207    0.009    0.000    0.009    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/encoder.py:204(iterencode)
      207    0.002    0.000    0.009    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/decoder.py:332(decode)
      226    0.002    0.000    0.009    0.000 {method 'set_result' of '_asyncio.Future' objects}
      218    0.008    0.000    0.008    0.000 {method 'recv' of '_socket.socket' objects}
       62    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      460    0.003    0.000    0.007    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:584(_process_events)
  207/206    0.002    0.000    0.007    0.000 {built-in method builtins.__build_class__}
       19    0.000    0.000    0.007    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/re.py:248(compile)
       19    0.000    0.000    0.007    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/re.py:287(_compile)
      249    0.001    0.000    0.007    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:705(call_soon)
       19    0.000    0.000    0.007    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_compile.py:759(compile)
        1    0.000    0.000    0.006    0.006 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/concurrent/futures/__init__.py:4(<module>)
        1    0.000    0.000    0.006    0.006 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/concurrent/futures/_base.py:4(<module>)
      436    0.003    0.000    0.006    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:493(_wait_for_data)
        1    0.000    0.000    0.005    0.005 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/logging/__init__.py:17(<module>)
       83    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       62    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      309    0.005    0.000    0.005    0.000 {built-in method now}
      249    0.003    0.000    0.005    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:734(_call_soon)
        1    0.000    0.000    0.005    0.005 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/uuid.py:1(<module>)
       62    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.005    0.005 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/ssl.py:4(<module>)
       80    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       80    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      207    0.004    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/decoder.py:343(raw_decode)
       19    0.000    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:937(parse)
    75/19    0.000    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:435(_parse_sub)
       13    0.000    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:434(_convert_)
    90/21    0.001    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:493(_parse)
      221    0.003    0.000    0.004    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:1762(_add_callback)
    82/81    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      199    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/socket.py:4(<module>)
6759/6560    0.003    0.000    0.003    0.000 {built-in method builtins.len}
      207    0.002    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:364(drain)
       73    0.000    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:278(__call__)
       21    0.001    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:129(__new__)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/coroutines.py:1(<module>)
     7224    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
       13    0.000    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:381(_create_)
      228    0.002    0.000    0.003    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:420(create_future)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/staggered.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/platform.py:3(<module>)
